"","Countryname","Country","D_WB_external_debt_distress","D_overall_debt_distress","D_debt_date","D_WB_external_debt_distress_norm","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020.2019","D_IMF_debt2020.2019_norm","D_fiscalgdpnum","D_fiscalgdpnum_norm","D_EconomicSupportIndexForDisplay_norm","D_fiscal","D_ratecut","D_reserve_req","D_macrofin","D_othermonetary","D_bopgdp","D_otherbop","D_CESI_Index","D_CESI_Index_norm","D_CPIA.scores","D_CPIA.scores_norm"
"91","Kazakhstan","KAZ",NA,NA,NA,NA,-4.266,2.58,-0.6,-5.3,-2.7,-4.7,9.4,7,5.05415162454874,7.5,4.5026064749923,2.77777777777778,25,0,1,0,1,-0.181898017264151,6.94483871107938,NA,NA
"92","Kenya","KEN","High","High","May-20",10,-7.856,-7.365,-7.8,-7.7,-6.9,0.1,0,1,9.38628158844765,7.5,0.9,15.1515151515152,0.19047619047619,0,1,0,0,-1.55136079422019,9.81079476693751,4.5,2.38095238095238
"93","Kyrgyzstan","KGZ","Moderate","Moderate","Mar-20",7,-3.733,-0.59,-0.1,-9.6,-6.4,-9.5,10,NA,NA,5,7.4,-17.6470588235294,48.6111111111111,0,1,3.54315458176976,1,1.03639464185864,4.39524533550671,4,4.76190476190476
"94","Cambodia","KHM","Low","Low","Dec-19",3,-0.775,0.717,0.4,-1.9,-1.7,-2.3,4.6,2,8.66425992779783,3.75,2.7085671530116,30.9090909090909,27.0833333333333,2.24466891133558,1,0,0,-0.490188690098687,7.59001690477853,4,4.76190476190476
"95","Kiribati","KIR","High","High","Jan-19",10,11.638,-1.148,8.8,-18.7,1,-27.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.52380952380952
"96","Saint Kitts and Nevis","KNA",NA,NA,NA,NA,0.538,1.151,3.9,-6.8,-4.4,-10.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Korea Republic of","KOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,10,5,5.7601226993865,60,0,11.25,1,3.68098159509202,1,2.09683591153731,2.17599693397456,NA,NA
"98","Kuwait","KWT",NA,NA,NA,NA,6.266,9.045,4.8,-11.3,-14.1,-16.1,10,1.5,9.02527075812274,6.25,1.5,45.4545454545455,19.2307692307692,0.033781398698163,1,0,0,-0.485957142570301,7.58116129404657,NA,NA
"99","Lao PDR","LAO","High","High","Aug-19",10,-5.487,-4.663,-5.1,-6.2,-5.5,-1.1,2.2,NA,NA,1.25,0.0993839609348416,18.3333333333333,20,0.116936064166186,1,0,0,-1.11656046684392,8.90086230853006,3,9.52380952380952
"100","Lebanon","LBN",NA,NA,NA,NA,-8.636,-11.287,-10.7,-15.3,NA,-4.6,9.2,NA,NA,7.5,1.93181011849855,0,0,0,1,0,0,-1.82645175323472,10,NA,NA
